Título do projeto;Palavras-chave;Situação;Data início;Data fim;Coordenação;Coordenador;Grupo de pesquisa;Linha de pesquisa;Área do conhecimento
Organização dos saberes no domínio de povos e comunidades tradicionais do brasil: linguagens, tecnologias, instituições informacionais e integração pragmática de dados.;"Epistemologia da Ciência da Informação; Filosofia da Linguagem; Filosofia da Cultura;  Epistemologia Histórica;  Linguagem. ";Finalizado;2019;2022;IBICT/COEPI;Gustavo Saldanha;Ecce Liber: Filosofia, Linguagem e Saberes;"1) História e epistemologia das ideias no pensamento informacional;
2) Filosofia e Epistemologia da organização dos saberes: estudos históricos e epistemológicos da Ciência da Informação;
3) Filosofia da Informação;
4) Estudos informacionais na perspectiva comparada e internacional;
5) Filosofia da Linguagem e estudos informacionais.";"Ciência da Informação
"
"Epistemologia histórica da ciência da informação e organização do conhecimento: dos fundamentos filosóficos da linguagem à teoria crítica da classificação.
";"Epistemologia; histórica da Ciência da Informação; Instituições; Conceitos; Artefatos; Intersujeitos. ";Finalizado;2019;2022;IBICT/COEPI;Gustavo Saldanha;Teoria, Epistemologia e Interdisciplinaridade da Ciência da Informação;"1) História e epistemologia das ideias no pensamento informacional;
2) Filosofia e Epistemologia da organização dos saberes: estudos históricos e epistemológicos da Ciência da Informação;
3) Filosofia da Informação;
4) Estudos informacionais na perspectiva comparada e internacional;
5) Filosofia da Linguagem e estudos informacionais.";"Ciência da Informação
"
Competência crítica em informação para o novo regime de informação.;"Regime de informação; competência em informação.";Finalizado;2021;2024;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;"Configurações Socioculturais, Políticas e Econômicas da Informação
";"Ciência da Informação
"
"
Inteligência artificial e qualidade de vida no ecossistema digital: a busca por autonomia no capitalismo de vigilância";"Inteligência Artificial; desinformação; ética da informação";Em Execução ;2023;2026;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;Configurações Socioculturais, Políticas e Econômicas da Informação;Ciência da Informação
Inteligência Artificial e desinformação: dilemas éticos da era digital;"Inteligência Artificial; desinformação; ética da informação";Em Execução ;2024;2027;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;Configurações Socioculturais, Políticas e Econômicas da Informação;Ciência da Informação
Dilemas éticos da era digital: difusão de conhecimento científico para desenvolvimento de competências críticas em informação e combate à desinformação;"Regime de informação; Inteligência Artificial; desinformação; ética da informação";Em Execução ;2024;2025;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;"Configurações Socioculturais, Políticas e Econômicas da Informação
";"Ciência da Informação
"
"Discurso, Melhoria de Processos e Inovação em Organizações Complexas da Sociedade da Informação.

";Sociedade da informação.;Finalizado ;2011;2019;IBICT/COEPI;Clóvis Ricardo M de Lima;"1) Economias colaborativas e produção P2P no Brasil
2) Filosofia e Política da Informação
";"1) Produção e desenvolvimento;
2) Profissionais da informação;
3) Configurações socioculturais, políticas e econômicas da informação;
4) Comunicação, Organização e Gestão da Informação e do Conhecimento
";"Ciência da Informação
"
Discurso, Melhoria de Processos e Inovação em Organizações Complexas da Sociedade da Informação.;Teoria do Agir Comunicativo. Discurso. Qualidade. Organizações complexas. ;Em Execução ;2011;2026;IBICT/COEPI;Clóvis Ricardo M de Lima;"1) Economias colaborativas e produção P2P no Brasil
2) Filosofia e Política da Informação
3) Informação em Ciência, Tecnologia e Inovação em Saúde ";;Ciência da Informação
Competência em informação na sociedade da desinformação.;"Cultura politica na informação; Fluxos informacionais na informação.";Finalizado;2019;2022;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";"Ciência da Informação
"
Referências cruzadas: ética, política e epistemologia na Ciência da Informação.;"Ética na Informação; Epistemologia da Ciência da Informação; Ética na Política.";Finalizado;2018;2021;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";"Ciência da Informação
"
Cartografias da Desinformação: diagnósticos e métodos de resistência.;"Cultura politica na informação; Fluxos informacionais na informação.";Em Execução;2023;2026;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";Ciência da Informação
Plataforma Multidisciplinar de Escuta Social Digital, Combate à Desinformação e Promoção aos Direitos Difusos (PMESDI).;"Ética na Informação; Ética na Política.";Em Execução;2023;2026;IBICT/COEPI;Marco Schneider e Arthur Bezerra (Parceria FDD);Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                 ";Ciência da Informação
Ética e Competência em Informação na Prevenção da Desinformação.;"Ética na Informação; Ética na Política.";Em Execução;2021;2024;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";Ciência da Informação
Combate à desinformação no Brasil e na América Latina.;"Ética na Informação; Ética na Política.";Em Execução;2023;2026;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";Ciência da Informação
Organização e curadoria da informação nos projetos de pesquisa sobre desinformação do grupo de pesquisa Perspectivas Filosóficas em Informação (Perfil-i);"Organização e Curadoria da Informação; Desinformação; grupo de pesquisa Perspectivas Filosóficas em Informação (Perfil-i)
.";Em Execução;2024;2025;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";Ciência da Informação
Estudos críticos em Humanidades Digitais: desafios à competência e à visibilidade informacional no campo científico das humanas.;"humanidades digitais;  teoria crítica; informação.";Finalizado;2017;2021;IBICT/COEPI;Ricardo M. Pimenta ;Informação, Memória e Sociedade;"1) Memória e Espaço;
2) Comunicação, Organização e Gestão da Informação e do Conhecimento   
";"Ciência da Informação
"
Epistemologia e prática nas Humanidades Digitais: construção laboratorial de metodologias e pensamento crítico no âmbito da Ciência da Informação.;"Epistemologia; Humanidades digitais; metodologias ; pensamento crítico.";Finalizado;2019;2023;IBICT/COEPI;Ricardo M. Pimenta ;Informação, Memória e Sociedade;"1) Memória e Espaço;
2) Comunicação, Organização e Gestão da Informação e do Conhecimento
";"Ciência da Informação
"
Estudo para criação e desenvolvimento da Escola Nacional de Informação - ENACIn.;"Ciência da informação; Pesquisa & Ensino; Métodologia Científica; Conhecimento.";Em Execução;2023;2025;IBICT/COEPI;Ricardo M. Pimenta ;Digitalidades da Informação e do Conhecimento nas Humanidades;"1) Estudos filosóficos da técnica e da tecnologia no contexto Humanístico;
2) Memória e Sociedade;
3) Pensamento crítico e métodos digitais nas Humanidades Digitais.";Ciência da Informação
"Tecnopoli?ticas da visibilidade informacional: o ""ser"", o ""ver"" e o ""saber"" na hipermodernidade.";"Teoria da Informação; Visibilidade; Hipermodernidade.";Finalizado;2016;2019;IBICT/COEPI;Ricardo M. Pimenta ;Informação, Memória e Sociedade;"1) Memória e Espaço;
2) Comunicação, Organização e Gestão da Informação e do Conhecimento
";"
Ciência da Informação
"
Estudos Históricos sobre Informação e Vigilância no Brasil: de Castelo a Snowden.;"Vigilância; Informação; História da Informação.";Finalizado;2013;2016;IBICT/COEPI;Ricardo M. Pimenta ;Informação, Memória e Sociedade;"1) Memória e Espaço;
2) Comunicação, Organização e Gestão da Informação e do Conhecimento";Ciência da Informação
O efeito Lablife das Humanidades Digitais: uma proposta metodológica para a Ciência da Informação.;"Humanidades Digitais;  Epsitemologia; Teoria da Informação";Em execução;2022;2025;IBICT/COEPI;Ricardo M. Pimenta ;Digitalidades da Informação e do Conhecimento nas Humanidades;"1) Estudos filosóficos da técnica e da tecnologia no contexto Humanístico;
2) Memória e Sociedade;
3) Pensamento crítico e métodos digitais nas Humanidades Digitais.";Ciência da Informação
As Humanidades Digitais à luz da Ciência da Informação: da teoria à metodologia como abordagem.;"Humanidades Digitais;  Metodologia;  Teoria da Informação.";Em execução;2021;2024;IBICT/COEPI;Ricardo M. Pimenta ;Digitalidades da Informação e do Conhecimento nas Humanidades;"1) Estudos filosóficos da técnica e da tecnologia no contexto Humanístico;
2) Memória e Sociedade;
3) Pensamento crítico e métodos digitais nas Humanidades Digitais.
";Ciência da Informação
Fortalecimento do PPGCI: Ampliando as produções docentes e discentes e a sua internacionalização.;"Ciência da Informação; Ensino; Pesquisa e Desenvolvimento; Stricto Sensu";Em Execução;2024;2026;IBICT/COEPI;Fábio Gouveia;Ciência, Dados, Redes e Metrias - (Scimetrics);"1) Análises do impacto da Internet e das redes sociais na ciência e na sociedade 
 2) Data Science e Novas Tecnologias Aplicadas à Ciência da Informação  
 3) Estudos Cientométricos da Comunicação científica, Instituições e Pesquisadores, Áreas da Ciência e Acesso Aberto
";Ciência da Informação
Sustentabilidade ambiental na ciência da informação.;"Análise da informação; Segurança alimentar; Sustentabilidade.";Finalizado;2019;2022;IBICT/COEPI;Liz-Rejane Issberner;Informação, conhecimento, inovação e sustentabilidade ambiental;"1) Inovação e redes de informação e conhecimento; 
2) Informação, conhecimento, inovação e sustentabilidade socioambiental;
3) Inovação e difusão de tecnologias de informação e comunicação.           

";"Ciência da Informação
"
Circuitos de desinformação e poder: produção de ignorância e desconfiança no embate ecológico.;"Biodiversidade; ecossistema; sustentabilidade ambiental.";Finalizado;2018;2021;IBICT/COEPI;Liz-Rejane Issberner;Informação, conhecimento, inovação e sustentabilidade ambiental;"1)Inovação e redes de informação e conhecimento; 
2)Informação, conhecimento, inovação e sustentabilidade socioambiental.
";Ciência da Informação
Dinâmica informacional na resistência contra a destruição da sociobiodiversidade na Amazônia: o papel das plataformas digitais.;"redes digitais; processos de informação; sustentabilidade; lutas de resistência; ativismo digital; neoextrativismo.";Em Execução;2024;2026;IBICT/COEPI;Liz-Rejane Issberner;Informação, conhecimento, inovação e sustentabilidade ambiental;"1) Inovação e redes de informação e conhecimento; 
2) Informação, conhecimento, inovação e sustentabilidade socioambiental;
3) Inovação e difusão de tecnologias de informação e comunicação.          
 ";Ciência da Informação
Regime de informação dos conflitos neoextrativistas: estudo de casos em comunidades agroecológicas na Amazônia.;"Biodiversidade; Amazônia; Regime de Informação; Extrativismo; Desenvolvimento Local.";Em Execução;2021;2026;IBICT/COEPI;Liz-Rejane Issberner;Informação, conhecimento, inovação e sustentabilidade ambiental;"1)Inovação e redes de informação e conhecimento; 
2)Informação, conhecimento, inovação e sustentabilidade socioambiental.
";Ciência da Informação
Organização do Conhecimento para Aprendizagem Ativa e Redes de Conhecimento.;"Organização do conhecimento; representação do conhecimento; aprendizagem ativa; redes sociais científicas; e-science.
";Finalizado;2014;2019;IBICT/COEPI;Jorge Biolchini;NetLab - Microssociologia e Estudos de Rede;Organização e Representação do Conhecimento;"Ciência da Informação
"
Informação e Inteligência para Promoção da Saúde.;"Inovação científica e tecnológica;  modelos científicos e tecnológicos; planejamento de programas; avaliação de programas; promoção da saúde.";Finalizado;2014;2019;IBICT/COEPI;Jorge Biolchini;NetLab - Microssociologia e Estudos de Rede;Organização e Representação do Conhecimento;"Ciência da Informação
"
Informação e Conhecimento em Educação e Saúde.;"Organização do conhecimento; Gestão do conhecimento; Ensino-aprendizagem; Tecnologia educacional.";Finalizado;2020;2023;IBICT/COEPI;Jorge Biolchini;Informação em Ciência, Tecnologia e Inovação em Saúde;Organização e Representação do Conhecimento;"Ciência da Informação; Planejamento Educacional; Ciências da Saúde"
Observatório de Evidências Científicas Covid-19.;"Organização do conhecimento; Ontologia; Divulgação científica; Informação em saúde; Educação em saúde.";Finalizado;2020;2023;IBICT/COEPI;Jorge Biolchini;Informação em Ciência, Tecnologia e Inovação em Saúde;Organização e Representação do Conhecimento;Ciência da Informação e Processos da Comunicação
Ontologia de Telemedicina-Telessau?de e Aplicabilidade Contextualizada.;"Organização do Conhecimento; Ontologia; Telemedicina; Telessaúde; Inteligência Artificial. Internet das Coisas. Realidade Aumentada.";Em Execução;2024;2029;IBICT/COEPI;Jorge Biolchini;Informação em Ciência, Tecnologia e Inovação em Saúde;Organização e Representação do Conhecimento;Ciência da Informação e Ciência da Computação
Curadoria, gestão e compartilhamento de dados de pesquisa: um caminho em direção à gestão do conhecimento nuclear .;"Curadoria; dados de pesquisa; gestão do conhecimento.";Finalizado;2019;2022;IBICT/COEPI;Luana Sales;Gestão, organização e recuperação de dados, informações e conhecimento científico;"1.Gestão do Conhecimento Nuclear;
2.Fluxos e Mediações Sócio-Técnicas da Informação; 
3.Comunicação, Organização e Gestão da Informação e do Conhecimento
";Ciência da Informação
Infraestrutura de Apoio à Gestão e Preservação do Conhecimento Nuclear Brasileiro.;"Gestão do conhecimento; Preservação do Conhecimento; Conhecimento Nuclear Brasileiro.";Finalizado;2019;2022;IBICT/COEPI;Luana Sales;Gestão, organização e recuperação de dados, informações e conhecimento científico;"1.Gestão do Conhecimento Nuclear; 
2.Fluxos e Mediações Sócio-Técnicas da Informação; 
3.Comunicação, Organização e Gestão da Informação e do Conhecimento
";Ciência da Informação
Repositório digital confiável para dados de pesquisa nuclear.;"Repositório digital; Dados de pesquisa; Pesquisa nuclear.";Finalizado ;2017;2020;IBICT/COEPI;Luana Sales;Gestão, organização e recuperação de dados, informações e conhecimento científico;"1.Gestão do Conhecimento Nuclear; 
2.Fluxos e Mediações Sócio-Técnicas da Informação; 
3.Comunicação, Organização e Gestão da Informação e do Conhecimento
";Ciência da Informação
Museu Virtual de Instrumentos Musicais Delgado de Carvalho.;"Museu Virtual;  Instrumentos Musicais; Organização do Conhecimento.";Finalizado ;2011;2024;IBICT/COEPI;Adriana Balleste;Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas;"1) Sistemas de Informações Musicais;
2) Memória das Artes e da Cultura;
3) Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas";Ciência da Informação
Museu Virtual de Instrumentos Musicais: espaço de convergência de acervos e conhecimento.;"Museu Virtual;  Instrumentos Musicais; Organização do Conhecimento.";Em execução;2019;2024;IBICT/COEPI;Adriana Balleste;Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas;"1) Sistemas de Informações Musicais;
2) Memória das Artes e da Cultura;
3) Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas";Ciência da Informação
I Seminário Música e Museu em Sintonia: Museu Virtual deInstrumentos Musicais e suas parcerias.;"Museu Virtual;  Instrumentos Musicais; Organização do Conhecimento.";Em execução;2023;2024;IBICT/COEPI;Adriana Balleste;Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas;"1) Sistemas de Informações Musicais;
2) Memória das Artes e da Cultura;
3) Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas";Ciência da Informação
Museu Virtual de Instrumentos Musicais: espaço de convergência de acervos e conhecimento.;"Museu Virtual;  Instrumentos Musicais; Organização do Conhecimento.";Finalizado ;2012;2020;IBICT/COEPI;Adriana Balleste;Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas;"1) Sistemas de Informações Musicais;
2) Memória das Artes e da Cultura;
3) Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas";Ciência da Informação
"Projeto Edição de livro ""Museu Virtual de Instrumentos Musicais: espaço de convergência de acervos"".";"Museu Virtual;  Instrumentos Musicais; Organização do Conhecimento.";Finalizado;2022;2023;IBICT/COEPI;Adriana Balleste;Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas;"1) Sistemas de Informações Musicais;
2) Memória das Artes e da Cultura;
3) Organização do conhecimento e uso de tecnologias digitais em museus, arquivos e bibliotecas";Ciência da Informação
Pesquisa Analítica para a Gestão Sustentável dos Resíduos Sólidos na Amazônia Legal.;"Resíduos Sólidos;  Amazônia Legal;  Avaliação do Ciclo de Vida.";Finalizado;2017;2020;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Ciência da Informação 
Ciclo de Vida: oportunidades e ameaças relacionadas a Materiais Críticos.;"Economia Circular;  Materiais Críticos;  Avaliação do Ciclo de Vida.";Finalizado;2017;2021;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para informação sustentabilidade e monitoramento;Sustentabilidade e Desenvolvimento;Ciência da Informação 
Desenvolvimento de Metodologia de Planejamento de longo prazo por processo prospectivo para o desenvolvimento sustentável do Arranjo Produtivo de Gemas, Joais e Artesanato Mineral de Cristalina/GO fundamentada e apoiada por bases de dados tecnológicos desse APL.;"APL; Arranjo Produtivo;  Gemas; Joais;  Artedanato Mineral. ";Finalizado;2018;2021;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para inovação;Ciência da Informação 
Pesquisa e Desenvolvimento de Tecnologia Informacional para Gestão da Bacia do Alto Paraguai .;"Preservação; bioma Pantanal;  análise de dados. ";Finalizado;2018;2021;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação e Sociedade;Ciência da Informação 
Avaliação do Ciclo de Vida de embalagem de PET retornável da Coca-Cola, projeto de aliança entre Triciclos e IBICT.;"Avaliação do Ciclo de Vida;  Triciclos; Embalagens. ";Finalizado ;2019;2021;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação e sustentabilidade ;Ciência da Informação 
Óleo Lubrificante Usado ou Contaminado (OLUC - Sindicom).;"OLUC; sustentabilidade. ";Finalizado;2016;2021;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação e sustentabilidade ;Ciência da Informação
Saberes do Cerrado.;"Biodiversidade;  urbanização. ";Finalizado ;2014;2019;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação e Sociedade;Ciência da Informação
Pesquisa e desenvolvimento de arquitetura informacional para apoiar a criação de plataforma online com a finalidade de promover ações de voluntariado público em atividades de agricultura urbana.;"Hortas urbanas; Voluntariado; Biblioteca digital - EAD.
";Finalizado;2018;2022;IBICT/COTEA;Marcel Garcia de Souza;"Políticas de Acesso Aberto a Dados de Pesquisa e Governamentais
";"(1) Sustentabilidade e Desenvolvimento;
(2) Gestão da informação científica e tecnológica;
(3) Informação e sociedade.
";"Ciências Sociais Aplicadas  e Ciência da Informação
"
Avançando e quantificando a produção e consumo sustentáveis (PCS) para uma economia de baixo carbono -Advance SCP -Brazil- (PNUMA).;"Sustentabilidade;  rotulagem ambienta; setor cafeeiro.";Finalizado;2022;2022;IBICT/COTEA;Marcel Garcia de Souza;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Ciência da Informação
Estudos para Implementação de um Sistema Integrado de Inclusão Digital e Informacional para Mulheres em Situação de Vulnerabilidade.;Inclusão Social, digital e informacional.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;Laboratório de Inovação e Estratégia em Governo;Gestão da informação Científica e Tecnológica;Ciencia da Informação
CHICS;Informação para a sociedade, política pública, biblioteca digital.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade;Informação e Sociedade;Ciência da Informação
Observatório do Turismo.;Dados abertos, repositório de dados, informação para a sociedade.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade;Informação e Sociedade;Ciência da Informação
APL do Turismo Cívico.;Dados abertos, repositório de dados, informação para a sociedade, turismo cívico.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade;Informação e Sociedade;Ciência da Informação
ITBr;Sustentabilidade, informação tecnológica, banco de dados, ciência aberta.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade; Informação científica e tecnológica;Ciência da Informação
Fortalecimento do OasisBr e da BDTD.;Informação científica.;Em execução;2024;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade;Informação científica;Ciência da Informação
Laguna - Infraestrutura Informacional Aberta e Lago de Dados.;Banco de dados, cienca aberta.;Em execução;2022;2024;IBICT/CODIC;Marcel Garcia de Souza;LIS - Laboratório de Informação para a Sustentabilidade;Gestão da informação Científica ;Ciência da Informação
Integração de informações para a otimização das ações da defesa civil nacional.;"Gestão de riscos; desastres;  defesa civil.";Finalizado ;2016;2019;IBICT/CGTI;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para monitoramento;Ciência da Informação
"Rota para a Base de Dados Nacional de ACV.
";"Sustentabilidade; avaliação do ciclo de vida. ";Finalizado ;2019;2019;IBICT/COTEA;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para sustentabilidade;Ciência da Informação
"Sistema Aberto de Observatório para Visualização de Informação.
";"Dados governamentais; ciência de dados. 
";Finalizado;2017;2022;IBICT/COTEA;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para monitoramento;Ciência da Informação
Estruturação e disponibilização de dados no Observatório Visão/ MDIC .;"Estruturação; Observatório de Dados. ";Finalizado;2018;2020;IBICT/COTEA;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para inovação;Ciência da Informação 
 Brumadinho.;"Sustentabilidade; observatório de dados. ";Finalizado;2019;2020;IBICT/COTEA;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação e Sociedade;Ciência da Informação
Pesquisar e estabelecer uma metodologia de gestão da inovação no Sistema Único de Saúde - SUS.;"Gestão da Informação; Inovação; SUS.";Finalizado;2017;2020;IBICT/COTEA;Tiago Braga;INSUMO - Informação  para inovação, susentabilidade e monitoramento;Informação e Sociedade;Ciência da Informação 
Comissão Interministerial de Sustentabilidade na Administração Pública (CISAP).;"Avaliação do Ciclo de Vida;  sustentabilidade. ";Finalizado;2012;2020;IBICT/COTEA;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento;Informação para Sustentabilidade Informação para Inovação ;Ciência da Informação
Estudo para estruturação de proposta de Arquitetura de Informação e Organização Visual para disseminação do programa Ciência no Mar.;"Ciência;  Mar; Oceano; Desastre.";Finalizado ;2019;2022;IBICT/CGTI;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento; Informação científica e tecnológica;Ciência da Informação
Implementação de metodologias e soluções tecnológicas livres voltadas para a gestão da informação no âmbito do Arquivo Nacional.;"Arquivo; Preservação Digital; Barramento.";Finalizado;2019;2022;IBICT/CGTI;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento; Informação científica e tecnológica;Ciência da Informação
Estruturação de Metodologia de Gestão da Informação para Regularização Fundiária de Terras Urbanas.;"Regularização fundiária; Brasília; Metodologia.";Finalizado;2019;2022;IBICT/CGTI;Cecília Leite;INSUMO - Informação para inovação, sustentabilidade e monitoramento; Informação científica e tecnológica;Ciência da Informação
Estudo para estruturação de proposta de Arquitetura de Informação e Organização Visual para disseminação do programa RedeVírus MCTI.;"RedeVírus; Arquitetura de Informação.";Finalizado;2020;2022;IBICT/CGTI;Tiago Braga;INSUMO - Informação para inovação, sustentabilidade e monitoramento; Informação científica e tecnológica;Ciência da Informação
Estudo para Implantação de Repositório Arquivístico Digital Confiável –RDC –Arq no âmbito do Tribunal de Justiça do Distrito Federal e Territórios – TJDFT.;"Competências em preservação digital; curadoria digital.
";Finalizado ;2019;2020; IBICT/CGTI ;Tiago Braga;Informação Científica e Tecnológica;"Promove o compartilhamento de estudos e práticas, além da integração de conteúdos da memória institucional digital de forma consorciada e federada
";Ciência da Informação e Biblioteconomia
Desenvolvimento de metodologia de monitoramento e avaliação para a certificação das escolas participantes do Programa Nacional das Escolas Cívico-Militares - PECIM.;"Certificação das escolas; Avaliação; Metodologia.";Finalizado ;2021;2022; IBICT/CGTI ;Tiago Braga;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;Ciências Sociais Aplicadas
Elaboração e execução de uma proposta metodológica de monitoramento e avaliação no nível intermediário para a certificação das escolas participantes do Programa Nacional das Escolas Cívico-Militares. PECIM-FASE II.;"Educação; Modelo de monitoramento; Certificação das escolas.";Finalizado;2021;2022; IBICT/CGTI ;Tiago Braga;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;Ciências Sociais Aplicadas
Subsídios ao planejamento e à implantação de uma infraestrutura de Ciência Cidadã.;"Plataforma; Conhecimentos científicos; Desenvolvimento Sustentável.";Finalizado;2021;2022; IBICT/CGTI ;Tiago Braga;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;Ciências Sociais Aplicadas
Ciência Cidadã para a Agenda 2030 de Desenvolvimento Sustentável;"Plataforma; Conhecimentos científicos; Desenvolvimento Sustentável.";Em Execução ;2022;2025; IBICT/CGTI ;Hugo Valadares;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;
Pesquisa para proposição e implementação de estratégias de informação e comunicação no âmbito das iniciativas coordenadas pelo Departamento de Ciências da Natureza (DECIN-MCTI);"Ciência; Arquitetura Informacional; Desenvolvimento Sustentável.";Em Execução ;2022;2025; IBICT/CGTI ;Hugo Valadares;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;
Large Language Model (LLM) para representar os notáveis cientistas brasileiros;"Inteligência Artificial; Protótipos; Divulgação Científica";Em Execução ;2023;2025; IBICT/CGTI ;Hugo Valadares;LEI - Laboratório de Ecossistemas Informacionais; Informação e Sociedade;
INOVAINFO: Pesquisa informacional para apoio à Política Nacional de Inovação e ao Marco Legal de Inovação. ;"Arquitetura de informação; Inovação.";Finalizado;2021;2022;IBICT/COTIC;Alexandre Oliveira;LEI - Laboratório de Ecossistemas Informacionais; Informação científica e tecnológica;Ciência da Informação
Estudo e proposição de metodologia de infraestrutura para preservação de páginas webs no contexto do Governo Federal.;"Preservação digital; Arquivamento; Web páginas.";Finalizado;2021;2022;IBICT/COTIC;Alexandre Oliveira;LEI - Laboratório de Ecossistemas Informacionais; Informação científica e tecnológica;Ciência da Informação
Estudo para transformação digital no fluxo de patentes do INPI. ;"Tecnologia computacional; Propriedade Industrial; Desenvolvimento.";Finalizado;2021;2024;IBICT/COTIC;Alexandre Oliveira;LEI - Laboratório de Ecossistemas Informacionais; Informação científica e tecnológica;Ciência da Informação
